epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.0332,1.72414,3.21119,1.26442,0.01598,0.71806,0.02048,0.0092,1.70317,3.25579,1.22261,0.0964,0.0004,0.0004
2,37.1403,1.42724,2.99,1.15506,0.0201,0.90308,0.04301,0.02428,1.19635,3.02256,1.00157,0.0918703,0.0008703,0.0008703
3,52.457,1.30203,2.43788,1.131,0.02176,0.97797,0.07494,0.04219,1.07171,2.86398,0.96365,0.0873076,0.0013076,0.0013076
4,68.4936,1.28267,1.63427,1.13834,0.02176,0.97797,0.79112,0.48904,1.01064,2.73782,0.94967,0.0827119,0.0017119,0.0017119
5,84.0134,1.24759,1.25966,1.12531,0.02186,0.98238,0.60779,0.38996,0.99633,2.83462,0.96008,0.0780832,0.0020832,0.0020832
6,99.0676,1.22298,1.10136,1.12429,0.02206,0.99119,0.49109,0.33282,0.98748,2.87727,0.95429,0.0734215,0.0024215,0.0024215
7,114.654,1.21281,1.02398,1.10014,0.02206,0.99119,0.52751,0.34141,1.00091,2.95011,0.96788,0.0687268,0.0027268,0.0027268
8,130.193,1.17174,0.9803,1.08383,0.02225,1,0.62173,0.40971,0.96616,2.85928,0.93561,0.0639991,0.0029991,0.0029991
9,145.616,1.1722,0.90767,1.08215,0.02226,1,0.85486,0.57431,0.95529,2.82604,0.93672,0.0592384,0.0032384,0.0032384
10,161.033,1.13038,0.89968,1.06771,0.02233,1,0.91763,0.62565,0.99522,2.80735,0.94304,0.0544447,0.0034447,0.0034447
11,176.506,1.1584,0.86572,1.06038,0.02235,1,0.8858,0.6394,0.93819,2.75262,0.92591,0.049618,0.003618,0.003618
12,190.325,1.10199,0.84827,1.04323,0.02244,1,0.98408,0.68414,0.92208,2.62777,0.92005,0.0447583,0.0037583,0.0037583
13,205.298,1.10193,0.81672,1.03786,0.98718,0.67861,0.95841,0.70345,0.93091,2.47819,0.93017,0.0398656,0.0038656,0.0038656
14,220.13,1.03116,0.75584,1.01507,1,0.2412,0.98366,0.70269,0.95353,2.33983,0.9277,0.0349399,0.0039399,0.0039399
15,234.742,1.05513,0.72201,1.00769,1,0.27723,0.99134,0.41289,1.36358,2.58543,1.23743,0.0299812,0.0039812,0.0039812
16,250.752,1.03851,0.69757,1.00943,1,0.34271,0.99094,0.7575,0.85899,2.12875,0.90058,0.0249895,0.0039895,0.0039895
17,266.222,1.07695,0.68168,0.99239,1,0.53293,0.99161,0.72996,0.95681,1.76335,0.937,0.0199648,0.0039648,0.0039648
18,281.665,0.99434,0.6615,0.98478,0.9925,0.58272,0.99141,0.58498,1.3269,1.68736,1.09108,0.0149071,0.0039071,0.0039071
19,296.093,1.01745,0.65094,1.0026,1,0.83993,0.99423,0.77832,0.86548,1.55389,0.90222,0.0098164,0.0038164,0.0038164
20,309.678,1.01219,0.64483,0.99846,0.99016,0.88649,0.99349,0.71374,0.97455,1.41022,0.94333,0.0046927,0.0036927,0.0036927
21,363.214,0.99101,0.68549,0.99436,1,0.75778,0.995,0.73283,0.95659,1.70715,0.92892,0.0034,0.0034,0.0034
22,377.64,0.89703,0.63135,0.9387,1,0.97614,0.995,0.74945,0.92483,1.2911,0.92639,0.00307,0.00307,0.00307
23,391.311,0.86008,0.59571,0.94574,0.96452,0.99119,0.99019,0.7129,1.0366,1.08486,0.96905,0.00274,0.00274,0.00274
24,404.525,0.89896,0.58967,0.95494,0.97806,0.98201,0.9931,0.57795,1.40933,1.01259,1.12723,0.00241,0.00241,0.00241
25,418.813,0.85748,0.57044,0.92281,0.98225,1,0.99326,0.65416,1.20678,0.88311,1.02115,0.00208,0.00208,0.00208
26,432.986,0.81273,0.54194,0.90746,0.98696,0.99991,0.99234,0.7248,1.00683,0.73621,0.95188,0.00175,0.00175,0.00175
27,445.929,0.81827,0.53869,0.92246,0.99405,1,0.99478,0.73399,0.94858,0.67521,0.93293,0.00142,0.00142,0.00142
28,459.661,0.77662,0.52634,0.89429,0.99494,1,0.99496,0.79791,0.79407,0.60608,0.88365,0.00109,0.00109,0.00109
29,472.691,0.78266,0.51408,0.90342,0.99766,1,0.995,0.78193,0.83695,0.58248,0.89144,0.00076,0.00076,0.00076
30,484.988,0.76335,0.50763,0.88892,0.99842,1,0.995,0.80399,0.76155,0.55549,0.87741,0.00043,0.00043,0.00043
