epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.1175,1.4614,2.06127,1.07155,0.0064,0.99055,0.02681,0.01286,1.27004,3.59768,0.9248,0.0708571,0.0032381,0.0032381
2,164.968,1.35094,0.98566,1.03681,0.02457,0.99433,0.91922,0.44759,1.3006,3.06398,0.96936,0.0407921,0.00650637,0.00650637
3,240.684,1.33795,0.91381,1.00893,0.97927,0.80386,0.97724,0.59666,1.34118,1.72999,1.06563,0.010661,0.00970865,0.00970865
4,316.529,1.33116,0.9052,1.02522,0.73782,0.69754,0.738,0.33841,1.79481,1.74181,1.17395,0.009703,0.009703,0.009703
5,392.431,1.28495,0.77706,1.00391,0.90043,0.91115,0.96202,0.5463,1.30431,2.10806,1.05697,0.009604,0.009604,0.009604
6,468.043,1.27487,0.71307,1.00165,0.9484,0.93819,0.97944,0.58783,1.2773,0.84485,1.03394,0.009505,0.009505,0.009505
7,543.316,1.23752,0.6872,0.9985,0.84947,0.76806,0.87056,0.44257,1.62947,1.06002,1.12871,0.009406,0.009406,0.009406
8,619.525,1.23701,0.65807,0.99657,0.94944,0.97353,0.96666,0.54937,1.40541,0.7826,1.06035,0.009307,0.009307,0.009307
9,692.704,1.2038,0.62797,0.99577,0.94621,0.96426,0.97609,0.62587,1.18155,0.90317,1.00706,0.009208,0.009208,0.009208
10,765.821,1.17281,0.61238,0.98387,0.96946,0.96005,0.98464,0.59995,1.27851,0.81856,1.04089,0.009109,0.009109,0.009109
11,838.464,1.16644,0.58563,0.9802,0.96189,0.98299,0.9849,0.66601,1.11284,0.66435,0.96601,0.00901,0.00901,0.00901
12,913.333,1.1647,0.57838,0.97969,0.97754,0.98726,0.99232,0.65447,1.1386,0.73953,0.96244,0.008911,0.008911,0.008911
13,986.446,1.13848,0.57144,0.97143,0.92503,0.94329,0.9745,0.62422,1.22563,0.70336,0.99943,0.008812,0.008812,0.008812
14,1059.62,1.12198,0.55473,0.96979,0.97235,0.96975,0.98675,0.5658,1.45303,0.73505,1.10064,0.008713,0.008713,0.008713
15,1133.18,1.12028,0.54849,0.96533,0.98064,0.97353,0.9901,0.68208,1.11552,0.539,0.9583,0.008614,0.008614,0.008614
16,1206.86,1.09291,0.52983,0.95503,0.97371,0.99433,0.99013,0.66213,1.11349,0.55688,0.97812,0.008515,0.008515,0.008515
17,1280.35,1.09526,0.53215,0.96205,0.98773,0.99055,0.99353,0.68622,1.13148,0.52641,0.95983,0.008416,0.008416,0.008416
18,1354.13,1.07856,0.51742,0.95683,0.98143,0.98488,0.99102,0.61459,1.20728,0.54937,0.98498,0.008317,0.008317,0.008317
19,1427.74,1.06204,0.50612,0.94466,0.97722,0.9811,0.99113,0.67911,1.12402,0.52916,0.95259,0.008218,0.008218,0.008218
20,1501.26,1.07548,0.50764,0.95307,0.98867,0.99004,0.99262,0.72202,1.00184,0.48751,0.91696,0.008119,0.008119,0.008119
21,1574.81,1.03323,0.49278,0.93808,0.99339,0.98866,0.99303,0.69984,1.08379,0.51258,0.94718,0.00802,0.00802,0.00802
22,1647.97,1.0468,0.49827,0.94581,0.99054,0.98943,0.99343,0.71793,0.99363,0.47524,0.92233,0.007921,0.007921,0.007921
23,1726.31,1.0305,0.49145,0.93702,0.95244,0.98488,0.98961,0.65608,1.18052,0.56186,0.96781,0.007822,0.007822,0.007822
