epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.2175,1.40858,1.40966,1.02616,0.97753,0.99322,0.98427,0.57953,1.26758,0.66236,0.92479,0.0703704,0.00329218,0.00329218
2,121.161,1.28841,0.63255,0.94302,0.95244,0.99331,0.98438,0.60514,1.22687,1.1099,0.92408,0.0403048,0.00655992,0.00655992
3,170.184,1.32735,0.66918,0.95427,0.94456,0.92575,0.96735,0.54636,1.41079,1.02227,1.0144,0.0101732,0.00976166,0.00976166
4,221.933,1.34996,0.64929,0.97041,0.97404,0.97501,0.98032,0.56718,1.43759,0.69972,1.07686,0.009703,0.009703,0.009703
5,270.925,1.28301,0.59677,0.96298,0.94772,0.942,0.95663,0.51415,1.45704,0.72944,1.03869,0.009604,0.009604,0.009604
6,321.845,1.24554,0.57174,0.95955,0.93741,0.94343,0.96637,0.58064,1.29806,0.65098,0.98352,0.009505,0.009505,0.009505
7,372.346,1.2061,0.54708,0.94706,0.98294,0.98819,0.98872,0.59775,1.22811,0.57378,0.96667,0.009406,0.009406,0.009406
8,418.198,1.18322,0.53377,0.93858,0.98493,0.99528,0.98912,0.65627,1.14312,0.5256,0.94057,0.009307,0.009307,0.009307
9,466.619,1.15626,0.5192,0.93219,0.9906,0.99554,0.98918,0.66807,1.12752,0.52117,0.92529,0.009208,0.009208,0.009208
10,519.712,1.14028,0.5126,0.92753,0.97611,0.9974,0.98366,0.64246,1.12755,0.56853,0.91441,0.009109,0.009109,0.009109
11,573.932,1.12462,0.50072,0.92316,0.98871,0.99843,0.99249,0.68642,1.07269,0.47194,0.90701,0.00901,0.00901,0.00901
12,626.595,1.12144,0.49178,0.923,0.98985,0.99787,0.99082,0.67571,1.08125,0.47976,0.90581,0.008911,0.008911,0.008911
13,675.799,1.10547,0.48777,0.91755,0.99037,0.99685,0.9922,0.66006,1.12317,0.48226,0.92227,0.008812,0.008812,0.008812
14,722.203,1.08249,0.47564,0.91301,0.99074,0.99606,0.99185,0.66936,1.12791,0.46901,0.92649,0.008713,0.008713,0.008713
15,768.886,1.07359,0.47013,0.91062,0.99253,0.99685,0.99346,0.70115,1.02961,0.46161,0.8996,0.008614,0.008614,0.008614
16,817.862,1.06617,0.46595,0.90884,0.99151,0.99764,0.99358,0.70673,0.98737,0.4336,0.88959,0.008515,0.008515,0.008515
